method,latent,n,RMSE_m,MAE_m,bias_m,correlation,uncertainty_weighted_RMSE_m,combined_95_interval_coverage
Point + linear,Hi,53,0.9281333721605833,0.5692241992199952,-0.06062939349414486,0.31823703837877654,0.824868796815471,
Point + linear,Hs,53,0.08636573601503576,0.07500304958375727,-0.0570964499010485,0.42234096162512186,,
Nested linear GP,Hi,53,0.8865496643677339,0.49719574810613476,-0.22807661476439703,0.46288595244193304,0.7696244326982244,0.9056603773584906
Nested linear GP,Hs,53,0.0773511803728252,0.06332937788653645,-0.034003099514735305,0.40979404934041136,,
Positive GP,Hi,53,0.9515785609121129,0.5959208701665373,-0.1487194632922405,0.2710566054641252,0.8345326552666997,0.8867924528301887
Positive GP,Hs,53,0.08138281960178768,0.06720441875196162,-0.05065341335349298,0.22293778432348646,,
Hard-positive DRF,Hi,53,0.895402966010784,0.6281703598208012,0.12356886834994622,0.4025436829019874,0.8213512790859859,0.8867924528301887
Hard-positive DRF,Hs,53,0.0707992843405627,0.06152136269575291,-0.03049237432485177,0.8081028547429688,,
