local_x_km,local_y_km,positive_gp_Hi_m,positive_gp_Hs_m,positive_gp_Hi_std_m,positive_gp_Hs_std_m,positive_gp_pred_cs2_m,positive_gp_pred_is2_m
12.5,12.5,2.7727019923599032,0.12514842271503535,0.09079489616407196,0.012178665374293523,0.22035350210361845,0.38362497579386234
23.295454545454547,12.5,2.776346327314643,0.12330125570057414,0.08222383028256358,0.011517247012255894,0.2218452756993683,0.38270689336378105
34.09090909090909,12.5,2.775958035558804,0.12214531483841841,0.07735893847411324,0.011446990256693823,0.2224947242430592,0.3818482752137935
44.88636363636363,12.5,2.7714772080942853,0.12155402659912112,0.0749737827250712,0.011569797161619327,0.22237110996221401,0.3809532528711336
55.68181818181818,12.5,2.7629619939911625,0.12140709542270063,0.07391152100769455,0.011600993711649707,0.22155251015141222,0.3799429633115937
66.47727272727272,12.5,2.7506262884959467,0.12162293375759647,0.07357572922388814,0.011461697871245822,0.22011044898060664,0.37878248973296685
77.27272727272727,12.5,2.7348854808733045,0.122167773367402,0.074001376966241,0.011273496117283118,0.21810932229938956,0.37749217317694267
88.06818181818181,12.5,2.7164111143948158,0.12304809444383898,0.07559394514409475,0.011295568882138913,0.21561674023396593,0.3761480779749749
98.86363636363636,12.5,2.6961948887088076,0.12429063125876459,0.07869605309238802,0.011767068001578002,0.21272228839090745,0.37487466787168516
109.6590909090909,12.5,2.6755924305246586,0.1259181702571117,0.08323153887514052,0.012711406991434972,0.2095566498941599,0.3738323537044303
120.45454545454545,12.5,2.6562254473256335,0.1279435431404044,0.08874308202021136,0.013956029701661512,0.20628477978838716,0.3732028310470184
131.25,12.5,2.6397828280933258,0.1303767137274681,0.0946687258980971,0.015304642409629966,0.20308049809602968,0.37317291894615173
142.04545454545453,12.5,2.6278203228350665,0.13322659971017273,0.10054043435243912,0.01663734186672231,0.20010407797633567,0.3739145247843626
152.8409090909091,12.5,2.621566445079289,0.13649371505391517,0.106038737396384,0.017921561175594427,0.19748598179442053,0.37555878145769245
163.63636363636363,12.5,2.6217330012196096,0.14015359539311395,0.11094740879981009,0.019175553796260632,0.19531659770010046,0.37816416034917183
174.4318181818182,12.5,2.6283300210424856,0.1441337216433461,0.11506938364801012,0.020408602116605196,0.19364033010225912,0.381680455823646
185.22727272727272,12.5,2.640500942978646,0.1482901027954562,0.11815802633226327,0.02156022866395463,0.1924520498335575,0.3859146847740066
196.02272727272725,12.5,2.656528451475994,0.1523930115202285,0.11992772586150204,0.02249179697299012,0.19170623979216625,0.3905216226089148
206.8181818181818,12.5,2.6740736866888515,0.15612840586879967,0.12014126907497258,0.023042090124984392,0.19134160809587336,0.3950302711895467
217.61363636363635,12.5,2.690474021770527,0.15911628290962015,0.11869342175483857,0.023089649978578514,0.19130181710244165,0.39888853242143796
228.4090909090909,12.5,2.703055929813382,0.16094830316315586,0.11565605961479329,0.022599054232341292,0.1915463025881622,0.40152311312478856
239.20454545454544,12.5,2.7094601245975807,0.16124917986644172,0.11127230438104894,0.02163949639836855,0.19204819775657417,0.40241753887152354
250.0,12.5,2.7079753983617536,0.1597673632792963,0.10589590107494297,0.020360074895049558,0.19277567653784783,0.40121180608949386
260.7954545454545,12.5,2.6978729851594814,0.15649548369514524,0.09988550715486733,0.018913741275595544,0.19365556928674713,0.397823130446942
271.59090909090907,12.5,2.679591351730014,0.15173714039141786,0.09351398964731077,0.017378410212988128,0.19455312039860756,0.3925128388495684
282.3863636363636,12.5,2.654532358788849,0.14599511893346304,0.08699108935029067,0.015770504296183693,0.1953170910181382,0.3857856379060662
293.1818181818182,12.5,2.624712782699555,0.13983009363504834,0.08056566196003498,0.014120110935351907,0.1958271033570089,0.378252618267604
303.9772727272727,12.5,2.5924249299459348,0.13376957479206783,0.07462885559527008,0.012534119267352388,0.1960119270503149,0.37053075147808984
314.77272727272725,12.5,2.559917270452569,0.12825614289079645,0.06973563995000641,0.011211503473278596,0.19584641886535573,0.36317229485572916
325.5681818181818,12.5,2.5291004828295707,0.12361907644847149,0.06645533048992278,0.010381992439236086,0.19533718755586307,0.3566134413839029
336.3636363636364,12.5,2.5012826911628774,0.12005436659269861,0.06503800776864267,0.010144516735570016,0.1945063541759637,0.35113200659166743
347.1590909090909,12.5,2.476972094314065,0.11761411261090904,0.06513493296523976,0.010329134522989699,0.19337688002334236,0.34681892168997186
357.95454545454544,12.5,2.4558972024038392,0.11625120324529234,0.06599579347788569,0.01062802828713476,0.19194801955802931,0.34361197872227556
368.75,12.5,2.4371856581579205,0.11588501186168743,0.06696009011543763,0.010808974590841288,0.19017509622492149,0.34136131379597173
379.5454545454545,12.5,2.419566263057576,0.11644003729731782,0.06780740108144061,0.010799076659054933,0.18796791575011307,0.3398782321059901
390.34090909090907,12.5,2.4015756295057376,0.11786106825359426,0.06886550964298413,0.010698810285390353,0.18520370118374732,0.3389679267887965
401.1363636363636,12.5,2.3817641994421006,0.12011014592511925,0.07088420160053137,0.01076490316270848,0.18175083772283188,0.3384492611220462
411.9318181818182,12.5,2.3588971630853663,0.1231478993997072,0.07467185193957765,0.011305533401027646,0.17750141337499106,0.3381629589274345
422.7272727272727,12.5,2.3321382999872857,0.12690303516450807,0.0806269973227594,0.012457535666590126,0.17240902078732356,0.33796960171652146
433.52272727272725,12.5,2.301128970945256,0.1312535877790097,0.0885828578585921,0.014091993769235403,0.1665083700028122,0.3377447806494492
444.3181818181818,12.5,2.265930110804457,0.1360353887319318,0.09808979413854091,0.01597663302019026,0.1599040529495121,0.3373789096871137
455.1136363636363,12.5,2.226934672884907,0.1410579434515166,0.10873378196912054,0.017928232434450173,0.15275173559455704,0.3367791312532743
465.9090909090909,12.5,2.1847800878189747,0.14612157508399534,0.12028827954318679,0.019865957781860785,0.14523859462225452,0.3358721190752743
