window,method,sensor,RMSE_m,MAE_m,bias_m
March_8,Point + nearest,CS2,0.05394958866799595,0.042490327347438774,0.004037727827705377
March_8,Point + nearest,IS2,0.05396562063832227,0.04068168621900648,0.010587651549759306
March_8,Positive GP,CS2,0.04714573036121205,0.03574867159382208,-0.019474599854634234
March_8,Positive GP,IS2,0.04521529914786469,0.03499722445908597,0.02146203771300662
March_29,Point + nearest,CS2,0.06013385669700589,0.04629411101164802,0.004508060630467063
March_29,Point + nearest,IS2,0.055692970080595774,0.04128186194368123,-0.00017025496415031715
March_29,Positive GP,CS2,0.05979624373552797,0.048611574420191976,-0.0372217496150961
March_29,Positive GP,IS2,0.03914233025763796,0.028655648389463134,0.004748282137244888
